기준일자,위치,위도,경도,주소,장비명,모듈용량,인버터용량,가동일,시설용량(kw),평균 발전시간,최대 발전시간,전력량 합계, CO₂절감량 합계,소나무(30년생)
2019-10-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,3.6 ,5.3 ,1364.0 ,641.8 ,18.5 
2019-10-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,1.0 ,3.6 ,321.0 ,151.0 ,4.4 
2019-10-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,3.0 ,4.3 ,2144.0 ,1008.8 ,29.1 
2019-10-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,3.4 ,4.7 ,1996.0 ,939.1 ,27.1 
2019-04-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-10-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,3.1 ,4.4 ,3492.0 ,1643.0 ,47.5 
2019-05-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-10-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,2.8 ,4.0 ,4587.0 ,2158.2 ,62.3 
2019-10-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,0.3 ,2.6 ,250.0 ,117.6 ,3.4 
2019-06-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-07-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-10-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,3.4 ,4.8 ,1292.0 ,607.9 ,17.6 
2019-08-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,2.6 ,4.4 ,2875.0 ,1352.7 ,39.1 
2019-08-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-11-01,갈산1동행정복지센터,37.517788,126.727173,인천광역시 부평구 주부토로 254,eKEN_HANWHA,12.0 ,12.0 ,2016-06-20,12.0 ,2.4 ,3.9 ,853.0 ,401.3 ,11.6 
2019-11-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,2.7 ,4.3 ,976.0 ,459.2 ,13.3 
2019-11-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.9 ,3.4 ,287.0 ,135.0 ,3.9 
2019-11-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,2.5 ,3.8 ,1696.0 ,798.0 ,23.0 
2019-11-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,2.9 ,4.5 ,1669.0 ,785.3 ,22.7 
2019-11-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,1.4 ,3.7 ,1342.0 ,631.4 ,18.2 
2019-11-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,2.6 ,4.1 ,2780.0 ,1308.0 ,37.8 
2019-09-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-11-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,2.3 ,3.3 ,3556.0 ,1673.1 ,48.3 
2019-11-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,0.8 ,2.1 ,602.0 ,283.2 ,8.2 
2019-10-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
