구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
당진매립장태양광,2017-08-18,0,0,0,0,0,0,27,58,111,224,345,573,125,219,512,437,233,169,50,0,0,0,0,0
당진매립장태양광,2017-08-19,0,0,0,0,0,0,17,70,159,264,277,405,281,372,211,167,92,46,4,0,0,0,0,0
당진매립장태양광,2017-08-20,0,0,0,0,0,0,0,0,24,93,131,207,323,377,102,59,97,58,5,0,0,0,0,0
당진매립장태양광,2017-08-21,0,0,0,0,0,0,17,84,141,139,334,187,317,600,220,299,351,155,13,0,0,0,0,0
당진매립장태양광,2017-08-22,0,0,0,0,0,0,0,133,316,505,430,545,701,597,584,509,370,182,15,0,0,0,0,0
당진매립장태양광,2017-08-23,0,0,0,0,0,0,0,40,188,354,343,453,468,575,424,301,247,100,23,0,0,0,0,0
당진매립장태양광,2017-08-24,0,0,0,0,0,0,4,103,187,336,431,344,307,179,32,0,0,17,16,0,0,0,0,0
당진매립장태양광,2017-08-25,0,0,0,0,0,0,16,109,263,433,530,655,675,588,497,423,284,136,57,0,0,0,0,0
당진매립장태양광,2017-08-26,0,0,0,0,0,0,9,136,327,506,614,676,676,702,650,543,332,174,27,0,0,0,0,0
당진매립장태양광,2017-08-27,0,0,0,0,0,0,3,80,78,300,384,496,488,362,238,171,146,56,10,0,0,0,0,0
당진매립장태양광,2017-08-28,0,0,0,0,0,0,12,122,204,274,444,247,248,257,122,33,0,0,0,0,0,0,0,0
당진매립장태양광,2017-08-29,0,0,0,0,0,0,10,116,281,538,627,491,634,737,641,528,387,135,11,0,0,0,0,0
당진매립장태양광,2017-08-30,0,0,0,0,0,0,0,28,85,122,148,177,208,271,234,270,214,118,38,0,0,0,0,0
당진매립장태양광,2017-08-31,0,0,0,0,0,0,9,105,285,457,581,564,642,664,580,464,334,150,22,0,0,0,0,0
당진매립장태양광,2017-09-01,0,0,0,0,0,0,7,130,289,476,620,674,673,651,599,488,348,155,17,0,0,0,0,0
당진매립장태양광,2017-09-02,0,0,0,0,0,0,10,84,282,473,587,596,656,591,512,347,283,133,20,0,0,0,0,0
당진매립장태양광,2017-09-03,0,0,0,0,0,0,9,103,271,458,560,622,628,627,541,443,241,109,18,0,0,0,0,0
당진매립장태양광,2017-09-04,0,0,0,0,0,0,4,115,300,444,565,540,444,535,495,318,265,128,11,0,0,0,0,0
당진매립장태양광,2017-09-05,0,0,0,0,0,0,0,38,110,172,169,182,129,140,140,142,85,19,0,0,0,0,0,0
당진매립장태양광,2017-09-06,0,0,0,0,0,0,0,12,48,105,138,146,164,132,124,131,55,12,0,0,0,0,0,0
당진매립장태양광,2017-09-07,0,0,0,0,0,0,0,83,240,422,537,623,654,636,576,456,297,116,10,0,0,0,0,0
당진매립장태양광,2017-09-08,0,0,0,0,0,0,3,83,194,422,559,636,662,649,584,477,311,113,17,0,0,0,0,0
당진매립장태양광,2017-09-09,0,0,0,0,0,0,0,52,187,376,379,477,520,395,416,216,240,118,8,0,0,0,0,0
당진매립장태양광,2017-09-10,0,0,0,0,0,0,0,40,114,235,244,247,176,157,109,69,40,9,0,0,0,0,0,0
당진매립장태양광,2017-09-11,0,0,0,0,0,0,0,4,6,84,156,255,222,275,227,290,294,113,8,0,0,0,0,0
당진매립장태양광,2017-09-12,0,0,0,0,0,0,2,93,243,425,425,629,681,662,594,475,304,108,5,0,0,0,0,0
당진매립장태양광,2017-09-13,0,0,0,0,0,0,3,97,273,453,571,642,676,666,603,477,307,111,4,0,0,0,0,0
당진매립장태양광,2017-09-14,0,0,0,0,0,0,2,86,264,426,536,599,609,620,550,429,262,89,3,0,0,0,0,0
당진매립장태양광,2017-09-15,0,0,0,0,0,0,1,88,259,438,573,657,633,554,404,353,235,111,4,0,0,0,0,0
당진매립장태양광,2017-09-16,0,0,0,0,0,0,0,15,86,247,386,480,613,629,490,255,191,52,1,0,0,0,0,0
